person,title,rating,review,review_date
abyayala,A Must see!,50,"Regardless of being an Orthodox, or even a religious person, a visit in the Monastery of st John (and the Cave of the Apocalypse as well), is an absolute must when visiting Patmos.    The Monastery itself is so impressive and seductive when looking at it from the port, that it really invites you to visit it.    It is a beautiful, really interesting place to see, not only in terms of religious or historical value, but also as a construction and landscape.    The visit will last a couple of hours and it's really worth visiting the small museum as well. The price is minimal (2 euros)    It would be nice to read some information about the history of the place before going up for a visit.    Also, a breathtaking view from the top, the Aegean landscape at its best :)",12-Aug-14
AIPPiraeus,absolute orthodox religion!!!!!,50,"It is the place where, according to the orthodox religion, God inspired St. John to write the Apocalypse...No words can tell...",15-Sep-15
Alan R,Well worth the climb,40,"For Believers, knowing that Paul was exiled here in 95 AD, a visit to Patmos has special meaning. And a climb up to the Monastery of St. John is a ""must do"". It's a popular attraction and can get rather congested, so have some patience and you'll be rewarded in a good many ways.",24-Nov-18
AlanD411,Historic and impressive,50,"There has been a presence on this site for 2,500 years. The monastery has been developed over centuries and is still a centre for monks praying and contemplating.  The huge building dominates the island and is visible for miles around.  Inside there is a real sense of thoughtfulness and respect for Christianity..  Bus timings a little awkward but for Euro 1.80 amazing value. Taxi home was Euro7.  Monastery now a World Heritage Site and once you see the height, depth and sheer size of the defensive walls it’s easy to see why this monument should be preserved.",5-Jul-19
Alex H,Mystical and historical place,50,"Before deciding to go there check if there is a cruise ship in the bay, if yes, it's better to choose another hour or day. You need peace and silence to feel the step of history and Christianity climbing the stairs until the Holy Monastery.  There are precious relics, marvelous icons and wood carved altars built during various centuries and each of them have survived through occupations and plunders.  Being in Patmos this is a must visit.",20-Aug-18
Alex J,"Unmissable, if you visit Patmos !! Combine this with a visit to the cave.",50,"My wife and I were very happy that our ship, the MV Celestyal Olympia, visited Patmos, on a cruise around the Greek Islands. As practising Catholics, we looked forward to seeing the cave where St. John wrote the Book of Revelation. We took an optional tour (paid tour). The tour took us first to the cave, then to this magnificent monastery on top of the hill. While the cave had a lot religious significance, this monastery was a real sightseeing gem. Wonderful location, great views, and plenty of history. (it is 1000 years old, whereas St. John lived in the cave, in exile, over 1900 years ago). There is a fantastic little museum, where you can see some very interesting church treasures, including the document signed by the Byzantine Emperor Alexis in 1088, establishing this monastery. As we had taken a paid tour, we had an excellent guide, who gave us an enormous amount of information. She also pointed out the best places to get photos. The views are stunning. One caution: your transport cannot take you right up to the entrance, it will need to park a fair way below. So, there is some climbing involved. If it is rainy, the cobblestones will be slippery and dangerous. Not a place to take a stroller!",18-Apr-20
alisonsM6413UD,Chora is heavenly and the monastery is part of its vibe,50,Definitely worth visiting whilst you explore Chora. There's a chapel plus two flours of interesting exhibits,28-Sep-20
AlQTravels,Amazing Collection of Art and History at this Hilltop Sanctuary,50,"Spent a little time walking the streets of the little port village, the Skala, on Patmos before taking a short bus ride up the hill to a stop below the Monastery. Great views of this lovely island from the bus stop and then a short but steep hike up to the entrance. The small museum has an incredible assortment of ancient religious artifacts. stuff that's been at this spot for nearly a thousand years. We were there late morning, so the crowds had thinned out, but watch the times since they close pretty early in the day. We walked back down to the Cave of the Apocalypse, which was a nice little serene hike through the trees and brush. A visit to this Monastery gives one a feeling of the early days of Christianity, and gives one a sense of being relatively close to the Holy Land.",6-Jul-17
AlWinterField,Serene and cool admist the heat of the Aegean,40,"Working monastery, cool and comforting, great architecture. You need to be respectful with clothing, cameras and manners. Small museum with some interesting pieces. Well worth 4 Euros",10-Jul-17
annibear,Great view,50,We caught the bus up to the top road then walked the rest of the way up the hill . You have to pay to go inside but well worth it. We looked round for about an hour it was very impressive we liked the place . We saw a donkey track on the way up so decided to walk down to the port on the way back.,28-Jul-19
Antonis2,Exceptional Holy visit,50,"Anyone who visit Patmos island MUST visit this Holy place! Patmos is well known for this specific Holy monastery. Serenity and highly respected religious relics. I'm sure you will feel the ""energy"" of this Holy place.",7-Jul-16
AthensVoyager,Impressive,50,"The monastery is a must see in Patmos. It is a holy place for Greeks that visit it all year around. Even if you are not very religious or Christian it is still interesting. While chatting with a shopkeeper (outside of the monastery) I was informed that many people from other religions are also visiting the place. The view from the monastery is breathtaking. Apart from the momastery itself, i found the museum very interesting. Try to go early in the morning to avoid the crowds and heat.",4-Sep-15
Aussiebooklover,A thousand photos later.....,50,"Got the hire car and set off for the monastery and holy cave of St John. The road was very steep amd narrow. Went to the cave first and into the chapel inside it. Couldn't take pictures but bought postcards. Very large comfortable cave with a fairly small building over it. Amazing to think that this where St John dictated the book of Revelations. Great views of Patmos from here.    Then drove even further up this steep road to the top where the monastery is. It's a beautiful building, all white washed walls, brilliant bougainvillea, and little courtyards. Took lots of photos, the view was even better here. The museum in the monastery has some very ancient books with beautiful decorations and pictures.    There are lots of shops on the steep narrow road that leads between old buildings from the car park to the monastery . We browsed in a few, and when we came down, stopped for lunch at a cafe overlooking the view, which was lovely. Had nice omelettes and a salad.",19-Nov-13
aussiegreynomad51,STUNNING,50,"A definite MUST SEE in Patmos. This UNESCO WORLD HERITAGE Greek Orthodox Monastery was founded in 1088. It has amazing frescoes painted on ceilings and walls from 11th century, stunning religious relics, and a definite sereeness about it. It is huge and takes a few hours to see it all. Well worth it. After go to Jimmy's Balcony Restaurant nearby for lunch it's great.",25-Aug-19
Aussies11,"History, scenery and faith.",50,"As you walk up the hill to the Monastery a photographer takes your photo and after your visit you can purchase the photo for 8 Euro each, quite a nice way to remember your visit. Even looking up at the Monastery from Skala makes you realise how impressive it is, and also wonder how they built it. Seeing it inside of course makes all the difference, we stopped at many points in the main monastery and specially enjoyed the museum which is the second part of the site. In the museum you can see ancient manuscripts, icons, tapestries and much more, and it is not just about the religious side but deepens knowledge of the historical events of the time.",30-Jul-19
barbara1932,Great Monastery!!,50,"The Monastery is on the top of the hill,with amazing views ,worth seeing! Read the history about the St.John and the revelations before you go... The bus is only 1.50 euro and we walk back is downhill and enjoy taking pictures all the way to the village.",24-Jul-13
Bathman,Awesome!,50,"We were here over the Easter weekend, and joined in several of the celebrations. All a great combination of reverence and joy!",27-May-17
becky248,Visit in the morning - stunning monastry,50,We got the 7.45 bus from Patmos to visit and arrived just as the monastry was being opened and had the place to ourselves. It is a beautiful monastry and the views are so impressive.,22-Jul-18
Belangelie,Worth to visit,50,"It is highly worthy to visit this monastery, which combines the church where can see important paintings with moments from Orthodox Bible history and the museum with unique items of great historical importance.",7-Jul-17
Beverly P,Absolutely a must see!!,50,"Wow, the views from up at the monastery are some of the best in Greece! Incredible to see this and of course the Cave of the Apocalypse which it surrounds. To think that Revelations was inspired and written here! incredible!",24-Jul-14
Bill S,Amazing and inspiring,50,"How do you rate a monastery like this established in the late 11th Century? Amazing. We prayed here and had a good time of reflection in this serene place. As an aside, I personally appreciated patting the monastery cat.",29-Oct-18
Bill T,Astonshing,50,"Beautiful monastery and chapel, with a breathtaking collection in the museum and an incredible history in a spectacular setting.",28-Jul-15
brendan c,Awesome view,50,Go early to avoid the crowds at this wonderful inspirational place with the most fantastic views. The museum is worth a visit Xmas the town of Chora is charming with plenty of decent shops and Tavernas.,21-May-19
Brian R,Breathtaking,50,"Absolutely astounding! The structure itself dates back to the 1080's and is beautifully maintained. It is mindboggling that services have been held here in an unbroken line since then. The church proper is beautiful and serene, and the museum was a surprisingly good experience. Among other artifacts they have a manuscript of the gospel of Matthew from the 6th century on display! Also artifacts showing the connection between Patmos and the monastery and the Ottoman Empire. There a some must sees on Patmos, and this definitely is one of them.",23-Jul-17
Bu57dal,Stunning Monastery and views,50,"I have been going to this Monastery since July 2014. Well worth visiting. A, ""Do not miss "" if you're in Patmos. The ticket is only 4 Euros, this includes visit to Museum. Please respect proper attire when visiting and no photographs only in the courtyard or the roof, the Greeks are very touchy about this and quiet right. Apart from the flashes damaging ancient art work, it's a holy place in fact, Patmos, once an island of exile is now a Holy Island. Lovely little shops to buy souvenirs, lots of interesting things to look at. Don't miss the wooden tub where the Monks made bread!  One good piece of advice: stay well clear of the place on Tuesday, Thursday, Saturday. Cruise liner ships come in at 4pm with tourists from all over the world to be taken see the Cave of the Revelations and Monastery. You won't see much it gets very crowded and if you light a candle when you're not looking a monk will put it off. Mornings are best for both places. Dedicate each some time as they are unique!!",27-Aug-15
Burtdol,A MUST MONASTERY TO VISIT!,50,This monastery and the Cave where St. John wrote biblical accounts were fascinating to visit and see. The Greek Orthodox services at the cave are really inspiring to see if you are lucky to be there at that time. The Monastery holds actual pages of his writings and this is a real inspiration for all Christians to view!,19-Sep-16
calkiwi2,Must see while on island but watch the hours,50,Check hours of opening. Currently 8:00 AM to 1:30 PM with Saturday's also includes an evening opening.  Dress and act appropriately.,11-May-17
Carol S,Monestary - Monastics,50,"A glimps into the ancient world of the monastics - Quite amazing! The religious art, fortress like architecture and observing the monks performing Holy Week services was life changing.",4-Jun-14
ChaletSchoolFan,Beautiful place,50,"We travelled here from Samos. Our holiday rep advised organising our own transport rather than taking the set tour and she was right. We travelled by Flying Dolphin and arrived at Patmos at 9am. The local bus met the boat and meant we reached the monastery as it was opening and so it was very quiet and peaceful and we had a chance to talk with one of the monks.    We strolled back down to the port by footpaths, stopping at the Cave of the Revelation on the way. This visit was one of the highlights of our holiday and we had no objections to paying the 4E entry fee, which included the museum containing the treasures of the monastery.",12-Aug-13
chandra shekar s,Nice one,40,We went to this place on our cruise tour to greece and turkey.Cabs are available from base to cave and here combined.You have to claimd difficult steps before reaching here.May be tiring for people.Great views from top.Museum also has lot of collections,4-Sep-15
chris t,Worth visiting for the sights and historical significance,40,"It's a stop on a lot of cruises, and it was a good visit, perfect for a day trip out. Just enough time to admire the views, the history surrounding the place, and get some nice walk and climb for the day.",24-Apr-13
CHRISA K,Unique,50,"it is really beautiful, you should visit this church.  the view from the top is breath taking and you have a lot to see and learn",17-Oct-17
ChrisS74,Not to be missed,50,"The Monastery of St. John is probably the only visit not to be missed on Patmos. As often, it may be better to visit with a guide in order to get some explanations.",30-Oct-16
chrissy0826,Worth the crowd and walking,50,"I have to say, the Monastery of St. John was more impressive than I thought it would be. The area is beautiful and the architecture, as well. Just wondering around was pretty neat. Wear comfortable shoes and bring water as there is a lot of walking.",13-Feb-16
Christiana H,Peaceful,40,"A very old, beautiful and picturesque monastery with an inside courtyard full of flower pots. It's situated on the top of a hill so you'll be needing comfortable flat shoes to reach the site. Make sure you visit by yourself and not as part of a noisy group in order to enjoy the peacefulness and beauty of the place, and make sure you find the time to visit the surrounding area, enjoy the view and take lots of pictures.",13-Aug-13
christy1030,Anticlimatic,30,We took the public bus up to the monastery. The view from outside the monastery and from the surrounding town was amazing. We liked that more than the monastery and that part was free. We were really disappointed because the chapel and courtyard are no longer free to enter. You have to pay to enter and now you get to see the Treasury in that price. The Treasury didn't really interest us and we thought we would get to see more of the monks and monastery itself but you don't. You only see the museum Treasury and the chapel. Not worth the money for us. The web site says modest dress required so I followed directions but there were people there wearing whatever and they didn't care (probably since they charge now).    You can walk on a very rocky foot path back down to town and it also leads you to the Cave of the Apocalyps. It was a pretty walk and all downhill.,15-Jul-13
chuckm750,"Rich history, special place",40,"Walking up to the monastery, couldn’t help but marvel in it being an active monastery—including watching a 97-year-old monk walking doing that hike comfortably. It was an impressive place of devout monks.  Be respectful and avoid photography—signs are clear where it’s prohibited.",2-Jun-19
coletteme,Amazing place,50,Very peaceful and beautiful Monastery. Definitely worth the visit and very peaceful to just sit in the courtyard after exploring the Monastery.,24-Sep-16
Colleen H,A beautiful place to visit,50,"There is a bit of a walk up the hill and the ground is uneven, so be prepared to take your time and wear comfy shoes. Monastery is stone, so can be a bit chilly inside, so you might want a jacket. Visiting here gives new meaning to the word ""antique."" Many religious artifacts that are hundreds of years old. Lots of places to walk around; many steps. Great photo ops! Loved hearing about the old wall paintings (mural) that had even older paintings under them!",17-Apr-17
Connern,Superb Experience,50,Wanted to visit the Monestery for a long time and did this as independent travellers last week. Used the bus service which was very reliable and great value. Walked around the walled town which was fantastic and went into the Monestery and Museum which were top class. Lovely atmosphere and views to die for! Unlike many tourist places the town and Monestery were not tacky and exploited . Highly recommended .,13-Jun-15
Cookye4Sure,The Absolute Best!,50,"I highly recommend this place if you are interested in Bible History. If you was to visit the cave where John resided. If you want to stand in this HOLY Place, I truly recommend you Fly to Athens, take a ferry with a (room) so you can SLEEP. When you awake in the morning you will be on the beautiful island of Patmos. Find your way to this BEAUTIFUL place for worship and expierence this extraordinary and serene place.",24-Oct-18
Couture7,Top of the Hill,40,This was a very interesting and peaceful place to visit. We arrived near closing but had enough time to see the artifacts. The most intriguing things were the old manuscripts! They were beautiful and unusual. Great views from the upper galleries. Saw the sunset through one window and it was so beautiful! A great moment in the monastery.,7-Sep-13
Crazycruiser59,Glad I made the walk,40,"It was somewhat of a climb to get up to the monastery. Along the way, there are shops and small restaurants in the event you want souvenirs or a drink/snack. We were on a tour so we were given much history as we walked among the ruins. The site from above was fabulous. I would recommend good and comfortable walking shoes.",28-Dec-14
Croftonglazier,Stunning,50,"What a fantastic imposing building and well worth the three hour boat trip from Kos. So serene with the quiet only broken by the ringing of the monastery bells. Stay and sit awhile and enjoy fantastic views over the wonderful island of Patmos. Would recommend that you take the bus from the harbour up to the top of the hill, visit the monastery, and then walk down to the cave where St John wrote Revelation. Truly felt the presence of God and will definitely go back again someday.",10-Sep-14
CropsUK,Window on the past with a perfect view,40,Definitely worth a visit to see this ancient monastery where the Book of the Apocalypse was written - beautiful painted chapel and more artifacts to see in the onsite museum,27-Aug-18
csharp59,The view from the top of the Island,40,"If you are traveling to Patmos, it really is one of the main places you should visit including the Basilica of the Apocalypse (where John wrote the Book of Revelations around 90 AD). The monastery can be seen from almost any place on the island. Although this monastery did not exist when John was exiled to Patmos from Ephesus, it nonetheless will give you breath-taking views of the entire island. Because they have some very ancient frescos and religious artifacts in the museum, it is also fairly educational. It also was nice to actually see the monks going about their daily lives in spite of all the tourists coming through. As others have noted there are some restored windmills, and interesting architecture to see as well. Having a guide is not necessary, but a guide will provide you with more of the history if you don't research beforehand. Overall, a nice way to spend the morning!",27-Jun-13
cymopterus,A must visit while on Patmos,50,"It was founded in 1088 when the emperor in Constantinople gave the island of Patmos to a monk for the monastery. It is an amazing place overlooking the island. The old church has many interesting frescos and the museum has many treasures given to the monastery over its many years. My favorite was the purple codex, leaves of a 6th century gospel of Mark in Greek. My one disappointment was that the large library with many manuscripts was not open to the public. We took the bus from Skala and returned by bus after walking through Chora and to the windmills. A great morning.",4-Oct-17
Cymro32,Inspiring!,40,Inspiring! Good to visit a site so important in Biblical history. Good views obtaind from the site. Possibly a bit too much of a climb for the elderly or infirmed.,5-Oct-12
DarrenL639,Monastery and Town Worth a Visit,40,"We took a tour up to the Monastery and also had a wonderful walk through the back ""streets"" of the old town built around it. Toured the inside of a house as well. The Monastery was nice with a small, but interesting museum area. Views were amazing as well.",26-Oct-14
Darrya,Don't take Tui tour!,50,"We took take tui / fridisresor/ finnmatkat tour and it leaves you with hurry and only 45 minutes to get to know this place by yourself. Don't give you much more though, so don't pay for it. Buy a book or get small group Guide, not 46 persons tour without a microphone.",15-Jul-13
David R,beware of the priest and monk,10,"We were followed around the entire time by the priest who was groping his gentiles and trying to lure us into a back room. This is beautiful and holy place however all travelers should beware of this man. I highly recommend visiting however keep a fair distance from this man. It was awkward and uncomfortable and a disgrace ,",1-Dec-17
Davide Q,wonderful visit; a little cozy place to see and relax,40,"it takes 30' to visit it, but you feel like you're getting into a serenity bubble  little, cozy and very nice.  furthermore for a very cheap ticket",6-Sep-18
Denise S,Items from antiquity,50,"The paintings, manuscripts, chalices etc are from various periods in antiquity ranging from the 5th century to the 18th century. It is awe inspiring when viewing these very holy items, particularly the manuscripts. There are many old paintings which are still vibrant in color. Photography prohibited which is very annoying. FAbulous views over Patmos from up here.",4-May-17
devonp171,Well worth the hike!,50,The monastery and the walk toward it are filled with antiquity. It is a spectacular walk and a very beautiful vantage point of Patmos!,6-Sep-19
Digre_11,A landscape you should not miss,50,"Beautiful building and incredible view of the port city. A must-see, especially given it's historical value.",7-Jul-15
dragon789wv,"Worth seeing, esp. the Museum",40,"My wife and I were here on a Globus tour, and this was part of a 3-day cruise by Celestyal Cruise Olympia and tour is by the cruise ship, which included a trip to the Grotto (whoopeee!).    By the time we got to the Monastery, it was almost 7pm, and don't forget that DST kicked in a week earlier, so ... yeah, we got a lot of terrific shots on the outside! I am amazed at how a cruise ship DARES to charge people to visit the island 'attractions'.  To be honest, if I had known what the island's 2 attractions were, combined with the late hour of arrival to see the Grotto first (arrived there around 6:15pm) ,,, I would probably have skipped the whole tour from the cruise ship ... not worth the price.    However ...  If I were to break up the Monastery and the Museum, the Monastery would be a 3 and the Museum would be a 5.  I don't remember if they allowed photography inside the Monastery, but I think it was NO photography.  To us, the Museum -- Alert - no photography allowed! -- was most interesting. It had many items that were ... very intricate, very well done, and some were so small that you have to really look to see how well done and intricate the work really was. THAT to many of us on the tour was the highlight of the Monastery Shame we were not allowed photography so we could walk away with memories to show others - and have good memories.",1-Dec-18
drmaries,Be sure to visit.,50,A very unique and special place. Lovely art work and décor. Takes you back in time and you can really get a feel for the history of the island.,26-Sep-15
drmommca,Meaningful experience,50,"After walking a steep, strenuous distance from the parking lot (not for the faint-hearted!), we first saw the cave where John experienced and wrote about his Revelation. This was awe-inspiring. Afterwards, we visited the Katholikon, which is the main church of the monastery which is still active. The Monestary was established in 1088. It and the adjacent museum are filled with ancient religious artifacts. Walking back down to the parking lot, you can stop at some of the shops along the way. Beautiful views of the Mediterranean!",15-Jun-15
earnestxxxx,Interesting to contemplate,50,"This was a beautiful place and it was very interesting to contemplate John being in that area writing the Book of Revelations. The museum was interesting with I think the oldest bible ever...LOL, I don't know, but there can't be many much older! Very cool stuff! Beautiful ancient church.",25-Mar-15
easylacer,A steep walk up to a beautiful place,50,We visited Patmos whilst we were on a cruise. The walk was graded 2 but should have been a 4 as there are lots of steps up to the monastery and its not easy for people who find walking hard. The monastery is very interesting and worth the walk. The museum is also worth a visit. The guide books are very informative.,12-Dec-13
Eddie D,Awesome,50,"We visited the cave where St. John received the Book of Revelation in the Bible. Whether you're a believer or not, one can't help but be moved by the location and the story told by the tour guide. Then you go up to the monastery and see the ancient frescoes and the attached museum. And as you walk down the hill after the visit there are cafes and shops to meander in. Truly a wonderful afternoon.",16-Sep-18
Eddiemack,A UNESCO World Heritage Site!,40,"I had never been to Patmos but after doing my research, noted that everything there was to see was within close proximity to where the ship tenders would drop us off. It's a small island (about 13 sq. mi.) with a population of about 3,000 people. We stop here because in 1999, the island's historic center Chora, along with the Eastern Orthodox Monastery of St. John and the adjacent caves of the Apocalypse were declared World Heritage Sites by UNESCO. It is believed that John, one of the 12 Apostles, was exiled to Patmos and this is where he wrote the Book of Revelations. He lived in a cave, the place where he received a Revelation from Jesus. Therefore, Patmos is an important Christian pilgrimage destination.",26-Oct-16
ElBalto,Lots of History,40,"There is a lot of history in this place, totally recommended to visit either you are a religious person or not you will enjoy it.",3-Dec-12
ELear,Winter opening hours,50,"If you go in winter, be sure before you set out that you'll be able to get in. When I went, in December, the monastery museum, which was my main reason for coming, turned out to be closed to visitors and I could only really see the outside.",7-Apr-14
Elenhin,Intriguing history and mystery.,50,A long hot walk up a tonne of stairs paid off well in this monastery. It was beautiful and you could feel history within its walls. The museum was very special and interesting. I recommend covering your shoulders and knees to show respect for the people who live and work here.,29-Jul-15
Eleni_gak,History and religion in one,50,"This monastery is combining the history and the religion and is devoted to Saint John who wrote the apocalypse in the holy cave some km away from the monastery. The monastery is among the sites of World Heritage of UNESCO, and only for this it is worth visiting.",17-Jun-15
Elias_Alpha,You must visit this place,50,"If you are in Patmos, even for just 1 day like us, you must visit the monastery.    The church is so beautiful with amazing frescos and icons and fantastic views from the outside. The museum is also very interesting.    It is worth having a tour guide who would explain everything in detail and you can learn a few things!    Definitely worth a visit.",6-Aug-19
elitsana,Exquisite!,50,The Monastery of Saint John the Theologian is a holy place. The atmosphere inside is remarkable. One must feel it by himself.,31-Jul-13
ErinKouvas,So worth it for the spiritually inclined.,50,"It's been more than a few years since I've been to the Monastery of St. John but looking back it's definitely been one of the most memorable experiences on the islands.    Besides delicious food and heartfelt people...and the water of course....when traveling to Greece you must visit the churches. There are so many you can't help but continually stumble into one. But this...you can absolutely feel the weight of the place. It demands respect and awareness, you can't help but feel otherwise while here.    I would definitely make the trip again.",25-Nov-15
Eva172018,Saint John Monastery,40,This place will leave you feeling at peace with yourself. Retrace the steps of Saint John’s journey on the island of Patmos will leave breathless. The monastery has many old artefacts and is located on top of a mountain. The best time to go is in the morning because it is not often open during the afternoon.,10-Oct-19
evans81051,"Very Byzantine, Best Views of the Island",50,"If you're interested in everything Byzantine, you will love the Monastery of St. John. The church is magnificent and the views from any direction of the island are just great. Do not miss the opportunity to visit the museum that houses artifacts from the Byzantine era that are priceless.",25-Sep-14
FoodFanManama,Amazing History,50,The monastery was truly inspiring and charming.. The history itself as presented in adjacent museum is another inspiration,28-Aug-18
fspike,One of the place to be in Patmos,50,You definitely need to visit the monastery after the cave of apocalypse! Its in chora and it is convenient to be there after a walk in chora  Dont miss the museum. This place is historical significant.,28-Aug-18
Gaijin-tanuki,Well worth the visit,50,"Moderately steep climb from taxi rank. Beautiful, minimalist, Greek Island architecture. The museum displays an original El Greco.    From Skala a public bus runs to Chora hourly: €2 per person one way. If there is a small group, I recommend a shared taxi from Skala port: Cave of the Apocalypse (30 minutes to explore), then the Monastery (1 hr to explore) and return to Skala. €40 per cab.",10-Jul-17
Garsan,Walking in history,40,"The monastery was a walk through history, a very pleasant experience. Interesting museum well worth the tour.",16-Nov-13
Gary C,A must visit for any bucket list,50,"We were there with a small group, but there were many other groups there. Still we could see all if we were patient. The small chapel is full of paintings which are magnificent. The museum on the second level holds rare sacred scriptures, very impressive icons, and sacred items such as crosses, garments, and church vessels. It is a bit of a walk to get in, but you are rewarded with great views of the sea and the towns.",2-Jun-17
gastronaut_11,Most popular,30,Sits atop Chora Village. A must visit when on Patmos. Very interesting and to a degree a pilgrimage site for many. Ususually closes at 1.30pm,13-Sep-19
gesthimania,Best Monastery ever,50,The view is unbelievable. You really feel the how sacred this place is once you are there. I can't really describe that this island has something to do with God even if you don't believe in christianity! Everyone must visit the monastery in their life!,8-Jul-15
Giolitsa,So pretty and calming,50,Interesting monastery with rich history. It offers the most amazing view of Patmos. Really beautiful and calming. Loved it.,8-Sep-14
GizemGiritli,Museum and monastery at one shot,40,It was a nice place with great views. I liked the architecture and the aura of the place very much. Its a bit dark but very quiet and peaceful.  Museum was not great but it was a good experience and they had various artifacts from different places.,9-Jul-16
globalpgm,worthwhile,50,"I recently stopped here on a cruise and hiked from the port to the Monastery, down to the grotto of St John, and back to the port for lunch. Low key island, good hike for reasonably fit people, great views, excellent attractions, very worthwhile stop in the Greek Islands.",30-Jun-13
GreatDaysInParis,A special spiritual place,50,The cave where the Apostle John is said to have written the Book of Revelation is set within a monastery about halfway up the hill from Skala to hilltop Hora. Don't go when a cruise ship is in! Take the time to soak up the atmosphere.,6-Oct-17
h20skiguy,Don't miss it.,50,"Don't miss their page from the Purple Codex. It is the 2nd oldest bible in existence. Unfortunately the pages are supposedly scattered over 7 countries. Still, they have 33 pages here. Only one is on display.",27-May-15
